Output file at 75k items in test
Max ram 17.75gb
LSH=>Start=>2023-11-29 22:15:42.528765
LSH=>Finish=>2023-11-29 22:24:32.078795 

U211:U4324,U5736,U36283
U212:U8820,U41382,U74659
U213:U10660,U38930,U65178
U214:U232,U33660,U43623
U215:U13082,U13790,U71767
U216:U170,U32367,U42885
U217:U8507,U8989,U20241
U218:U5977,U10562,U59437
U219:U6027,U30150,U62537
U220:U9333,U11187,U17589
U221:U2957,U5612,U66154
U222:U26772,U51746,U51786
U223:U6449,U35619,U38674
U224:U229,U6653,U7459
U225:U3039,U17326,U36589
U226:U9535,U16642,U53498
U227:U9082,U15568,U65688
U228:U8970,U35776,U44083
U229:U224,U6653,U7459
U230:U24668,U52455,U70240
U231:U198,U7429,U44505
U232:U214,U4377,U33660
U233:U32362,U36086,U65635
U234:U18571,U36264,U39981
U235:U278,U13171,U35247
U236:U40988,U67322,U70742
U237:U33502,U59486,U65338
U238:U13374,U20791,U28693
U239:U249,U13893,U73450
U240:U1975,U44140,U54553
U241:U19688,U41291,U70738
U242:U10438,U52270,U62221
U243:U10427,U14242,U50257
U244:U11161,U40530,U49520
U245:U11161,U46503,U52794
U246:U53311,U73895,U74240
U247:U1369,U1527,U55616
U248:U4423,U33388,U51177
U249:U239,U4038,U73450
U250:U5840,U11339,U67322
U251:U4674,U34987,U38291
U252:U48209,U61203,U72793
U253:U60864,U61725,U72887
U254:U6315,U52022,U54019
U255:U274,U773,U65363
U256:U4436,U8960,U18232
U257:U100,U1804,U4659
U258:U350,U7230,U28848
U259:U121,U52869,U65439
U260:U488,U497,U70000
U261:U286,U58187,U69896
U262:U6934,U37711,U48025
U263:U431,U5684,U68823
U264:U8197,U13031,U63980
U265:U1903,U6462,U52273
U266:U11411,U22198,U74505
U267:U409,U65313,U70102
U268:U517,U66555,U71223
U269:U21863,U27779,U28161
U270:U10279,U67687,U72566
U271:U19512,U68049,U69926
U272:U359,U461,U67327
U273:U1080,U2719,U60464
U274:U255,U773,U65363
U275:U310,U348,U352
U276:U434,U54926,U60129
U277:U52251,U67681,U70963
U278:U235,U8559,U35247
U279:U283,U367,U69476
U280:U354,U49934,U50482
U281:U20057,U29996,U74438
U282:U4627,U5654,U58984
U283:U279,U367,U8395
U284:U2961,U9030,U60614
U285:U351,U60094,U70613
U286:U261,U3749,U22507
U287:U2925,U25913,U28777
U288:U10733,U33911,U70399
U289:U3010,U5901,U21818
U290:U6632,U38175,U71021
U291:U2315,U3654,U28548
U292:U35529,U44852,U48722
U293:U665,U19912,U40591
U294:U2055,U54091,U69318
U295:U59407,U61445,U70848
U296:U4540,U4574,U14872
U297:U14322,U21852,U65104
U298:U11732,U20877,U65910
U299:U2477,U5592,U17028
U300:U51071,U52459,U59502
U301:U2342,U14929,U51504
U302:U2492,U3483,U53377
U303:U385,U45037,U47843
U304:U26742,U69935,U71171
U305:U10026,U43309,U59755
U306:U21201,U26619,U33960
U307:U394,U5660,U10499
U308:U1005,U24550,U49304
U309:U44671,U51635,U53972
U310:U275,U348,U352
U311:U8813,U11453,U50121
U312:U8673,U11649,U66749
U313:U12909,U42106,U57538
U314:U5787,U54656,U74213
U315:U282,U3488,U40617
U316:U5129,U33819,U37969
U317:U33154,U44586,U45539
U318:U11980,U28104,U52974
U319:U1845,U34235,U65893
U320:U5445,U43945,U53860
U321:U539,U1176,U7646
U322:U43491,U61465,U63238
U323:U41443,U54554,U67966
U324:U47433,U58647,U71231
U325:U490,U9924,U69836
U326:U13179,U30950,U34832
U327:U124,U774,U11930
U328:U11408,U27049,U57917
U329:U8689,U23898,U56948
U330:U7002,U38729,U39475
U331:U3613,U12229,U26312
U332:U3142,U23253,U32780
U333:U4097,U41566,U66946
U334:U11772,U14444,U46420
U335:U17140,U61250,U74199
U336:U118,U18182,U53836
U337:U14288,U70623,U73168
U338:U12956,U31236,U49346
U339:U1947,U24767,U69796
U340:U6517,U7281,U73679
U341:U78,U396,U445
U342:U587,U1863,U64203
U343:U2331,U70497,U73689
U344:U22903,U39602,U48028
U345:U5588,U55872,U70342
U346:U48766,U50348,U69732
U347:U36113,U48785,U69552
U348:U275,U310,U352
U349:U404,U51216,U51842
U350:U258,U7230,U28848
U351:U285,U13986,U15059
U352:U275,U310,U348
U353:U4436,U19473,U31504
U354:U24677,U35641,U49934
U355:U14299,U36541,U43319
U356:U15511,U39385,U47379
U357:U21891,U54177,U56486
U358:U4615,U24179,U34335
U359:U272,U44019,U52843
U360:U14753,U44467,U54073
U361:U7981,U21485,U35827
U362:U57519,U64698,U73721
U363:U41011,U48006,U59789
U364:U5979,U18971,U22740
U365:U12266,U30649,U49854
U366:U482,U53801,U65583
U367:U279,U283,U18133
U368:U436,U480,U39838
U369:U5792,U31664,U35691
U370:U12268,U44852,U56863
U371:U9760,U44058,U49069
U372:U12478,U42255,U63589
U373:U6903,U48566,U60365
U374:U41224,U59823,U60762
U375:U5204,U10411,U18322
U376:U429,U3733,U56894
U377:U21279,U54935,U56867
U378:U399,U6878,U42450
U379:U7125,U15208,U47926
U380:U1162,U32577,U48060
U381:U21706,U41082,U72805
U382:U10248,U29753,U35033
U383:U9975,U32639,U74370
U384:U9728,U60090,U60653
U385:U303,U45037,U55950
U386:U43159,U53205,U62058
U387:U4435,U13784,U28511
U388:U24794,U61810,U70253
U389:U45558,U61291,U64877
U390:U8298,U51131,U53827
U391:U11864,U22282,U23710
U392:U8212,U47884,U56404
U393:U37539,U61658,U73421
U394:U307,U5660,U10499
U395:U20618,U43824,U60776
U396:U78,U341,U445
U397:U3348,U34393,U61695
U398:U484,U489,U4850
U399:U378,U33105,U66092
U400:U28164,U43597,U64420
U401:U11493,U38105,U74049
U402:U121,U23880,U72079
U403:U1546,U23516,U73391
U404:U29015,U51216,U51842
U405:U4806,U43561,U62856
U406:U61023,U65643,U69726
U407:U301,U547,U51504
U408:U4799,U53141,U61801
U409:U267,U65313,U70102
U410:U5426,U9063,U53613
U411:U2034,U35243,U45129
U412:U22135,U55880,U57915
U413:U10559,U26743,U52627
U414:U19905,U49889,U49982
U415:U23001,U24872,U64621
U416:U5197,U5276,U72201
U417:U45205,U53248,U55480
U418:U40814,U57987,U62059
U419:U43147,U52663,U74533
U420:U11858,U33315,U68807
U421:U39433,U45167,U72540
U422:U50903,U62622,U65800
U423:U6738,U44036,U59525
U424:U9219,U13093,U31817
U425:U1583,U18879,U61327
U426:U16576,U26495,U28073
U427:U199,U3607,U50786
U428:U121,U259,U500
U429:U376,U15246,U56894
U430:U249,U403,U1546
U431:U263,U53845,U72019
U432:U6027,U26254,U65696
U433:U435,U691,U67506
U434:U276,U6914,U50360
U435:U433,U691,U69764
U436:U312,U368,U480
U437:U1105,U10597,U37045
U438:U2472,U57787,U74379
U439:U15673,U45650,U52901
U440:U3306,U11005,U17158
U441:U18778,U39124,U63305
U442:U24189,U27166,U36169
U443:U15073,U46867,U72939
U444:U13936,U45261,U65166
U445:U78,U341,U396
U446:U17010,U24873,U44480
U447:U11886,U14573,U19424
U448:U6553,U14140,U30595
U449:U14381,U19710,U22216
U450:U13083,U53634,U56830
U451:U55388,U60404,U64408
U452:U49081,U49579,U63439
U453:U21764,U51535,U66791
U454:U13744,U47677,U61529
U455:U45755,U47515,U58089
U456:U37931,U43440,U59779
U457:U8142,U10064,U57328
U458:U14885,U21891,U35780
U459:U4086,U31806,U41639
U460:U25406,U26895,U72993
U461:U272,U42185,U56368
U462:U280,U354,U11953
U463:U37948,U42923,U54804
U464:U8306,U20263,U62963
U465:U12407,U30095,U31235
U466:U9505,U53429,U58078
U467:U4003,U39384,U47016
U468:U2181,U43609,U56754
U469:U1029,U23871,U57241
U470:U3831,U4685,U49879
U471:U962,U47520,U59777
U472:U12738,U49521,U55948
U473:U3599,U48617,U62421
U474:U517,U58818,U71223
U475:U20485,U35769,U68570
U476:U17630,U32084,U53225
U477:U7205,U31711,U58761
U478:U43443,U51988,U53278
U479:U908,U30864,U70273
U480:U368,U436,U37754
U481:U17337,U29820,U65114
U482:U366,U45816,U65583
U483:U260,U488,U497
U484:U398,U489,U64270
U485:U56825,U62088,U65972
U486:U502,U32928,U54156
U487:U9777,U21283,U54349
U488:U260,U483,U497
U489:U398,U484,U64270
